CLUSTER_ID,GHI_average,X,Y
"47",5.73590440851984,27.64781078,-12.84328008
"48",5.66469152168304,32.20872903,-13.39851331
"49",5.64941961858638,28.96729449,-10.37321629
"40",5.97694794725497,26.90146063,-17.52098995
"43",5.70397285339878,30.77113774,-12.68129959
"45",5.85123435481911,29.54979986,-11.79824008
"44",5.66110036371533,31.71711957,-11.02507770
"46",5.72296245401915,31.91326251,-10.06745625
"31",5.709725459822,32.70848882,-9.75358800
"32",5.62161532355609,29.52269576,-14.11091134
"33",5.82551017992771,27.77294151,-15.22381214
"35",5.87780262943918,26.53124664,-14.96368877
"34",5.87482300376635,25.22425972,-13.82994621
"36",5.6775504644793,31.82121477,-12.01814783
"37",5.92790377782996,22.92948465,-13.76172566
"38",5.63324912102741,32.80287776,-11.17434308
"42",5.92755057239436,26.66398931,-16.81834406
"23",5.95827380951067,26.21592906,-15.81008111
"24",5.63030884276487,29.89502378,-8.97337366
"25",5.81139181835185,27.61914981,-13.80420751
"26",5.69267914832688,25.64892668,-12.43067118
"27",5.57411779198637,31.00276028,-14.25816071
"28",5.9973377042523,24.72891598,-16.25542915
"39",6.03821739234584,23.78856372,-16.02134159
"29",5.68261603838949,30.72162916,-10.16115828
"30",6.0604549224293,22.40691299,-15.01033557
"15",5.60157379896038,32.75755932,-12.48763631
"16",5.81310509153675,24.14926776,-13.27354947
"17",5.98677412700619,23.65363746,-14.78810248
"18",6.08676100955029,24.15815767,-17.08826182
"19",5.55619142708338,29.64615977,-15.23748651
"41",5.75423957024954,28.50757024,-16.00360840
"20",5.75696908018404,28.59675714,-13.25359707
"21",5.81333867181729,29.99819541,-10.82034046
"22",5.82413117107275,26.22208594,-13.69672775
"7",5.95697988058267,24.69385080,-14.98165375
"8",5.6930266772454,26.81416307,-12.41820721
"9",5.76072087768128,30.93606170,-11.55951794
"10",5.88485390596897,22.44339816,-13.21278004
"11",5.60611318348017,31.14701739,-9.06680579
"12",5.60640323604944,30.32571583,-13.40939443
"13",5.88192947429906,27.59692688,-16.47367357
"14",5.73269942745259,28.89507083,-11.33277726
"0",5.45651892369102,33.32024465,-10.34181648
"1",6.12191130973026,22.87439737,-16.38256296
"2",5.75227006844715,28.56381059,-14.53725059
"3",5.59941181163538,24.62482317,-11.92152500
"4",5.61687359373656,29.16633780,-9.42926285
"5",5.6325169405703,32.41884976,-13.99239452
"6",5.9896862123141,25.62667904,-17.13372333
