time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],T2M[unit="K"]
2023-01-01T00:30:00Z,-12.97691393677044,28.56822560697546,290.6712341308594
2023-01-01T01:30:00Z,-12.97691393677044,28.56822560697546,290.435791015625
2023-01-01T02:30:00Z,-12.97691393677044,28.56822560697546,290.1875
2023-01-01T03:30:00Z,-12.97691393677044,28.56822560697546,289.933349609375
2023-01-01T04:30:00Z,-12.97691393677044,28.56822560697546,290.5811767578125
2023-01-01T05:30:00Z,-12.97691393677044,28.56822560697546,292.0518798828125
2023-01-01T06:30:00Z,-12.97691393677044,28.56822560697546,294.07720947265625
2023-01-01T07:30:00Z,-12.97691393677044,28.56822560697546,295.7190856933594
2023-01-01T08:30:00Z,-12.97691393677044,28.56822560697546,296.68377685546875
2023-01-01T09:30:00Z,-12.97691393677044,28.56822560697546,297.39093017578125
2023-01-01T10:30:00Z,-12.97691393677044,28.56822560697546,297.9530029296875
2023-01-01T11:30:00Z,-12.97691393677044,28.56822560697546,298.30792236328125
2023-01-01T12:30:00Z,-12.97691393677044,28.56822560697546,298.2322082519531
2023-01-01T13:30:00Z,-12.97691393677044,28.56822560697546,297.45465087890625
2023-01-01T14:30:00Z,-12.97691393677044,28.56822560697546,296.6678771972656
2023-01-01T15:30:00Z,-12.97691393677044,28.56822560697546,295.6465148925781
2023-01-01T16:30:00Z,-12.97691393677044,28.56822560697546,293.8875427246094
2023-01-01T17:30:00Z,-12.97691393677044,28.56822560697546,293.0444030761719
2023-01-01T18:30:00Z,-12.97691393677044,28.56822560697546,292.5236511230469
2023-01-01T19:30:00Z,-12.97691393677044,28.56822560697546,292.017578125
2023-01-01T20:30:00Z,-12.97691393677044,28.56822560697546,291.6636657714844
2023-01-01T21:30:00Z,-12.97691393677044,28.56822560697546,291.5066223144531
2023-01-01T22:30:00Z,-12.97691393677044,28.56822560697546,291.41656494140625
2023-01-01T23:30:00Z,-12.97691393677044,28.56822560697546,291.29486083984375
2023-01-02T00:30:00Z,-12.97691393677044,28.56822560697546,291.11932373046875
2023-01-02T01:30:00Z,-12.97691393677044,28.56822560697546,290.86572265625
2023-01-02T02:30:00Z,-12.97691393677044,28.56822560697546,290.50042724609375
2023-01-02T03:30:00Z,-12.97691393677044,28.56822560697546,290.1575927734375
2023-01-02T04:30:00Z,-12.97691393677044,28.56822560697546,290.9090881347656
2023-01-02T05:30:00Z,-12.97691393677044,28.56822560697546,292.6387939453125
2023-01-02T06:30:00Z,-12.97691393677044,28.56822560697546,294.82904052734375
2023-01-02T07:30:00Z,-12.97691393677044,28.56822560697546,296.4686584472656
2023-01-02T08:30:00Z,-12.97691393677044,28.56822560697546,297.3707275390625
2023-01-02T09:30:00Z,-12.97691393677044,28.56822560697546,297.8968811035156
2023-01-02T10:30:00Z,-12.97691393677044,28.56822560697546,298.17169189453125
2023-01-02T11:30:00Z,-12.97691393677044,28.56822560697546,297.7597961425781
2023-01-02T12:30:00Z,-12.97691393677044,28.56822560697546,297.4093322753906
2023-01-02T13:30:00Z,-12.97691393677044,28.56822560697546,296.7812805175781
2023-01-02T14:30:00Z,-12.97691393677044,28.56822560697546,296.0753479003906
2023-01-02T15:30:00Z,-12.97691393677044,28.56822560697546,295.0359802246094
2023-01-02T16:30:00Z,-12.97691393677044,28.56822560697546,293.7076721191406
2023-01-02T17:30:00Z,-12.97691393677044,28.56822560697546,293.32427978515625
2023-01-02T18:30:00Z,-12.97691393677044,28.56822560697546,293.112060546875
2023-01-02T19:30:00Z,-12.97691393677044,28.56822560697546,292.5074462890625
2023-01-02T20:30:00Z,-12.97691393677044,28.56822560697546,291.7501525878906
2023-01-02T21:30:00Z,-12.97691393677044,28.56822560697546,291.2025146484375
2023-01-02T22:30:00Z,-12.97691393677044,28.56822560697546,290.8009033203125
2023-01-02T23:30:00Z,-12.97691393677044,28.56822560697546,290.3119201660156
2023-01-03T00:30:00Z,-12.97691393677044,28.56822560697546,290.35552978515625
2023-01-03T01:30:00Z,-12.97691393677044,28.56822560697546,290.530517578125
2023-01-03T02:30:00Z,-12.97691393677044,28.56822560697546,290.4755859375
2023-01-03T03:30:00Z,-12.97691393677044,28.56822560697546,290.3875427246094
2023-01-03T04:30:00Z,-12.97691393677044,28.56822560697546,291.39373779296875
2023-01-03T05:30:00Z,-12.97691393677044,28.56822560697546,292.08978271484375
2023-01-03T06:30:00Z,-12.97691393677044,28.56822560697546,292.5982360839844
2023-01-03T07:30:00Z,-12.97691393677044,28.56822560697546,293.4236145019531
2023-01-03T08:30:00Z,-12.97691393677044,28.56822560697546,295.10015869140625
2023-01-03T09:30:00Z,-12.97691393677044,28.56822560697546,296.2402038574219
2023-01-03T10:30:00Z,-12.97691393677044,28.56822560697546,296.63299560546875
2023-01-03T11:30:00Z,-12.97691393677044,28.56822560697546,297.11004638671875
2023-01-03T12:30:00Z,-12.97691393677044,28.56822560697546,297.3524169921875
2023-01-03T13:30:00Z,-12.97691393677044,28.56822560697546,297.21954345703125
2023-01-03T14:30:00Z,-12.97691393677044,28.56822560697546,296.7991027832031
2023-01-03T15:30:00Z,-12.97691393677044,28.56822560697546,296.2083740234375
2023-01-03T16:30:00Z,-12.97691393677044,28.56822560697546,295.1624755859375
2023-01-03T17:30:00Z,-12.97691393677044,28.56822560697546,293.9039611816406
2023-01-03T18:30:00Z,-12.97691393677044,28.56822560697546,293.0002136230469
2023-01-03T19:30:00Z,-12.97691393677044,28.56822560697546,292.02264404296875
2023-01-03T20:30:00Z,-12.97691393677044,28.56822560697546,291.3249816894531
