time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],T2M[unit="K"]
2023-01-01T00:30:00Z,-13.257824811770208,24.152515885804952,291.6868591308594
2023-01-01T01:30:00Z,-13.257824811770208,24.152515885804952,291.529541015625
2023-01-01T02:30:00Z,-13.257824811770208,24.152515885804952,291.390625
2023-01-01T03:30:00Z,-13.257824811770208,24.152515885804952,291.292724609375
2023-01-01T04:30:00Z,-13.257824811770208,24.152515885804952,291.5030517578125
2023-01-01T05:30:00Z,-13.257824811770208,24.152515885804952,292.4268798828125
2023-01-01T06:30:00Z,-13.257824811770208,24.152515885804952,293.55377197265625
2023-01-01T07:30:00Z,-13.257824811770208,24.152515885804952,294.2737731933594
2023-01-01T08:30:00Z,-13.257824811770208,24.152515885804952,294.41033935546875
2023-01-01T09:30:00Z,-13.257824811770208,24.152515885804952,294.42218017578125
2023-01-01T10:30:00Z,-13.257824811770208,24.152515885804952,294.7811279296875
2023-01-01T11:30:00Z,-13.257824811770208,24.152515885804952,295.53448486328125
2023-01-01T12:30:00Z,-13.257824811770208,24.152515885804952,296.1072082519531
2023-01-01T13:30:00Z,-13.257824811770208,24.152515885804952,296.15777587890625
2023-01-01T14:30:00Z,-13.257824811770208,24.152515885804952,295.7225646972656
2023-01-01T15:30:00Z,-13.257824811770208,24.152515885804952,295.0058898925781
2023-01-01T16:30:00Z,-13.257824811770208,24.152515885804952,293.9969177246094
2023-01-01T17:30:00Z,-13.257824811770208,24.152515885804952,293.2006530761719
2023-01-01T18:30:00Z,-13.257824811770208,24.152515885804952,293.0158386230469
2023-01-01T19:30:00Z,-13.257824811770208,24.152515885804952,292.970703125
2023-01-01T20:30:00Z,-13.257824811770208,24.152515885804952,292.9371032714844
2023-01-01T21:30:00Z,-13.257824811770208,24.152515885804952,292.5534973144531
2023-01-01T22:30:00Z,-13.257824811770208,24.152515885804952,292.06500244140625
2023-01-01T23:30:00Z,-13.257824811770208,24.152515885804952,291.60736083984375
2023-01-02T00:30:00Z,-13.257824811770208,24.152515885804952,291.36932373046875
2023-01-02T01:30:00Z,-13.257824811770208,24.152515885804952,291.50634765625
2023-01-02T02:30:00Z,-13.257824811770208,24.152515885804952,291.68792724609375
2023-01-02T03:30:00Z,-13.257824811770208,24.152515885804952,291.6810302734375
2023-01-02T04:30:00Z,-13.257824811770208,24.152515885804952,292.1903381347656
2023-01-02T05:30:00Z,-13.257824811770208,24.152515885804952,293.6466064453125
2023-01-02T06:30:00Z,-13.257824811770208,24.152515885804952,295.36810302734375
2023-01-02T07:30:00Z,-13.257824811770208,24.152515885804952,296.4374084472656
2023-01-02T08:30:00Z,-13.257824811770208,24.152515885804952,297.0894775390625
2023-01-02T09:30:00Z,-13.257824811770208,24.152515885804952,297.3421936035156
2023-01-02T10:30:00Z,-13.257824811770208,24.152515885804952,297.05450439453125
2023-01-02T11:30:00Z,-13.257824811770208,24.152515885804952,296.5957336425781
2023-01-02T12:30:00Z,-13.257824811770208,24.152515885804952,296.3390197753906
2023-01-02T13:30:00Z,-13.257824811770208,24.152515885804952,296.1250305175781
2023-01-02T14:30:00Z,-13.257824811770208,24.152515885804952,295.6612854003906
2023-01-02T15:30:00Z,-13.257824811770208,24.152515885804952,294.9969177246094
2023-01-02T16:30:00Z,-13.257824811770208,24.152515885804952,293.8482971191406
2023-01-02T17:30:00Z,-13.257824811770208,24.152515885804952,292.98834228515625
2023-01-02T18:30:00Z,-13.257824811770208,24.152515885804952,292.705810546875
2023-01-02T19:30:00Z,-13.257824811770208,24.152515885804952,292.5230712890625
2023-01-02T20:30:00Z,-13.257824811770208,24.152515885804952,292.2423400878906
2023-01-02T21:30:00Z,-13.257824811770208,24.152515885804952,291.8665771484375
2023-01-02T22:30:00Z,-13.257824811770208,24.152515885804952,291.4571533203125
2023-01-02T23:30:00Z,-13.257824811770208,24.152515885804952,291.1322326660156
2023-01-03T00:30:00Z,-13.257824811770208,24.152515885804952,290.93365478515625
2023-01-03T01:30:00Z,-13.257824811770208,24.152515885804952,290.796142578125
2023-01-03T02:30:00Z,-13.257824811770208,24.152515885804952,290.7021484375
2023-01-03T03:30:00Z,-13.257824811770208,24.152515885804952,290.6609802246094
2023-01-03T04:30:00Z,-13.257824811770208,24.152515885804952,291.15936279296875
2023-01-03T05:30:00Z,-13.257824811770208,24.152515885804952,291.91790771484375
2023-01-03T06:30:00Z,-13.257824811770208,24.152515885804952,292.8013610839844
2023-01-03T07:30:00Z,-13.257824811770208,24.152515885804952,293.7283020019531
2023-01-03T08:30:00Z,-13.257824811770208,24.152515885804952,294.68609619140625
2023-01-03T09:30:00Z,-13.257824811770208,24.152515885804952,295.9980163574219
2023-01-03T10:30:00Z,-13.257824811770208,24.152515885804952,297.01580810546875
2023-01-03T11:30:00Z,-13.257824811770208,24.152515885804952,297.50848388671875
2023-01-03T12:30:00Z,-13.257824811770208,24.152515885804952,297.7039794921875
2023-01-03T13:30:00Z,-13.257824811770208,24.152515885804952,297.66485595703125
2023-01-03T14:30:00Z,-13.257824811770208,24.152515885804952,297.4084777832031
2023-01-03T15:30:00Z,-13.257824811770208,24.152515885804952,296.8568115234375
2023-01-03T16:30:00Z,-13.257824811770208,24.152515885804952,295.7249755859375
2023-01-03T17:30:00Z,-13.257824811770208,24.152515885804952,294.7008361816406
2023-01-03T18:30:00Z,-13.257824811770208,24.152515885804952,293.9455261230469
2023-01-03T19:30:00Z,-13.257824811770208,24.152515885804952,293.21795654296875
2023-01-03T20:30:00Z,-13.257824811770208,24.152515885804952,292.6218566894531
