Step,Res_BundleA,Res_BundleB,Res_BundleC,SME,PUE
199,0.025925719,0,0,0,0
200,0.021258762,0,0,0,0
201,0,0,0,0,0
202,0.038033183,0,0,0,0
203,0.039884977,0,0,0,0
204,0.038513481,0,0,0,0
205,0.00529798,0,0,0,0
206,0.032202704,0,0,0,0
207,0.007370487,0,0,0,0
208,0.002433263,0,0,0,0
209,0.025151787,0,0,0,0
210,1.28E-05,0,0,0,0
211,0.006516465,0,0,0,0
212,0.001660568,0,0,0,0
213,0.021952016,0,0,0,0
214,0.037210105,0,0,0,0
215,0.011062152,0,0,0,0
216,0.00389884,0,0,0,0
217,0.000565649,0,0,0,0
218,0.005358916,0,0,0,0
219,0.031033467,0,0,0,0
220,0.011916666,0,0,0,0
221,0.030836612,0,0,0,0
222,0.034241938,0,0,0,0
223,0.00020585,0,0,0,0
224,0.001700043,0,0,0,0
225,0.025949536,0,0,0,0
226,0.003382947,0,0,0,0
227,0.00460415,0,0,0,0
228,0.031449936,0,0,0,0
229,0.004541119,0,0,0,0
230,0.018825034,0,0,0,0
231,0.025827152,0,0,0,0
232,0.033024048,0,0,0,0
233,0.056887138,0,0,0,0
234,1.80E-05,0,0,0,0
235,0.000310367,0,0,0,0
236,0.000356571,0,0,0,0
237,0.000426529,0,0,0,0
238,0.002208579,0,0,0,0
239,0.005702394,0,0,0,0
240,0.005657351,0,0,0,0
241,0.004937372,0,0,0,0
242,0.005083216,0,0,0,0
243,0.002456736,0,0,0,0
244,0.008709876,0,0,0,0
245,0.001344356,0,0,0,0
246,0.004987284,0,0,0,0
247,0.002834789,0,0,0,0
248,0.003182376,0,0,0,0
249,0.016659894,0,0,0,0
250,0.000792685,0,0,0,0
251,0.000786216,0,0,0,0
252,0.001612666,0,0,0,0
253,0.000868513,0,0,0,0
254,0.005741363,0,0,0,0
255,9.30E-05,0,0,0,0
256,0,0,0,0,0
257,0.02716887,0,0,0,0
258,5.85E-05,0,0,0,0
259,0.000176165,0,0,0,0
260,4.50E-05,0,0,0,0
261,0.00171842,0,0,0,0
262,0.004158337,0,0,0,0
263,0.020587047,0,0,0,0
264,0.016868886,0,0,0,0
265,0.004456056,0,0,0,0
266,0.027772256,0,0,0,0
267,0.004082552,0,0,0,0
268,0.019093477,0,0,0,0
269,1.28E-05,0,0,0,0
270,5.46E-06,0,0,0,0
271,0.052137041,0,0,0,0
272,0.001768115,0,0,0,0
273,0.023367822,0,0,0,0
274,0.000718181,0,0,0,0
275,0.007566145,0,0,0,0
276,0.002246139,0,0,0,0
277,0.000203262,0,0,0,0
278,0.016959051,0,0,0,0
279,0.013123422,0,0,0,0
280,0.009724318,0,0,0,0
281,0.052579649,0,0,0,0
282,0.001392639,0,0,0,0
283,0.002031288,0,0,0,0
284,0.022141757,0,0,0,0
285,0.000513476,0,0,0,0
286,0.004126381,0,0,0,0
287,0.01926356,0,0,0,0
288,0.019885584,0,0,0,0
289,0.000662132,0,0,0,0
290,0.006798046,0,0,0,0
291,0.001364138,0,0,0,0
292,0.001888684,0,0,0,0
293,0.019605597,0,0,0,0
294,0.005658672,0,0,0,0
295,0.033754591,0,0,0,0
296,0.00242919,0,0,0,0
297,0,0,0,0,0
298,0.005929807,0,0,0,0
299,0.003897023,0,0,0,0
300,0.008301326,0,0,0,0
301,0.000928652,0,0,0,0
302,0.010005605,0,0,0,0
303,0.007287939,0,0,0,0
304,0,0,0,0,0
305,0.002462912,0,0,0,0
306,0.000606478,0,0,0,0
307,0.000232332,0,0,0,0
308,0.000415119,0,0,0,0
309,0.050212697,0,0,0,0
310,0.006314321,0,0,0,0
311,0.021944415,0,0,0,0
312,0.004489314,0,0,0,0
313,0.004889592,0,0,0,0
314,0.02634243,0,0,0,0
315,0.004187586,0,0,0,0
316,0.015748275,0,0,0,0
317,0.006276653,0,0,0,0
318,0.026873208,0,0,0,0
319,0.003969966,0,0,0,0
320,0.027136178,0,0,0,0
321,0.022380405,0,0,0,0
322,0.019081858,0,0,0,0
323,0.022150914,0,0,0,0
324,0.045333027,0,0,0,0
325,0.025275432,0,0,0,0
326,0.016663967,0,0,0,0
327,0.018515957,0,0,0,0
328,0.026199258,0,0,0,0
329,0,0,0,0,0
330,0.010835996,0,0,0,0
331,0.011532796,0,0,0,0
332,0.005459927,0,0,0,0
333,0.003491671,0,0,0,0
334,0.002904126,0,0,0,0
335,0.000711123,0,0,0,0
336,0.010390449,0,0,0,0
337,0.002224514,0,0,0,0
338,0.014786967,0,0,0,0
339,0.002451624,0,0,0,0
340,0.003633903,0,0,0,0
341,0.004836345,0,0,0,0
342,0.001577847,0,0,0,0
343,0.003328801,0,0,0,0
344,0.000660697,0,0,0,0
345,0.008700524,0,0,0,0
346,0.00207134,0,0,0,0
347,0.017403956,0,0,0,0
348,8.47E-05,0,0,0,0
349,0.000618524,0,0,0,0
350,0.046248974,0,0,0,0
351,0.021287516,0,0,0,0
352,0.036435947,0,0,0,0
353,0.008173802,0,0,0,0
354,0.00461597,0,0,0,0
355,0.004807706,0,0,0,0
356,0.018897047,0,0,0,0
357,0.043832212,0,0,0,0
358,0.022278348,0,0,0,0
359,0.012312993,0,0,0,0
360,0.005977025,0,0,0,0
361,0.004471582,0,0,0,0
362,0.027669396,0,0,0,0
363,0.004510685,0,0,0,0
364,0.014765772,0,0,0,0
365,0.019297138,0,0,0,0
366,0.076970288,0,0,0,0
367,0.023373139,0,0,0,0
368,0.034963958,0,0,0,0
369,0.022907801,0,0,0,0
370,0.006341216,0,0,0,0
371,0.033735384,0,0,0,0
372,0.018152016,0,0,0,0
373,0.001518595,0,0,0,0
374,0.014032902,0,0,0,0
375,0.003267602,0,0,0,0
376,0.004462936,0,0,0,0
377,0.017001548,0,0,0,0
378,1.28E-05,0,0,0,0
379,0.006424427,0,0,0,0
380,0.000496533,0,0,0,0
381,0.032687759,0,0,0,0
382,0.005546748,0,0,0,0
383,0.031207557,0,0,0,0
384,0.003773397,0,0,0,0
385,0.003376584,0,0,0,0
386,0.005358916,0,0,0,0
387,0.005198756,0,0,0,0
388,0.019251274,0,0,0,0
389,0.03483277,0,0,0,0
390,0.045509562,0,0,0,0
391,0.000569194,0,0,0,0
392,0.001566684,0,0,0,0
393,0.029523429,0,0,0,0
394,0.005011976,0,0,0,0
395,0.029126785,0,0,0,0
396,0.004839272,0,0,0,0
397,0.004373741,0,0,0,0
398,0.027181612,0,0,0,0
399,0.027548892,0,0,0,0
400,0.058121008,0,0,0,0
401,0.029786681,0,0,0,0
402,0.000126368,0,0,0,0
403,0.000314813,0,0,0,0
404,0.000580239,0,0,0,0
405,0.002907341,0,0,0,0
406,0.002490198,0,0,0,0
407,0.007059646,0,0,0,0
408,0.004850001,0,0,0,0
409,0.02947316,0,0,0,0
410,0.005083216,0,0,0,0
411,0.000411555,0,0,0,0
412,0.002115298,0,0,0,0
413,0.006293851,0,0,0,0
414,0.005547731,0,0,0,0
415,0.002236889,0,0,0,0
416,0.003618347,0,0,0,0
417,0.042640476,0,0,0,0
418,0.018464509,0,0,0,0
419,0.042507781,0,0,0,0
420,0.000220511,0,0,0,0
421,0.003664001,0,0,0,0
422,0.006769268,0,0,0,0
423,0.000215719,0,0,0,0
424,0.044782578,0,0,0,0
425,0.015769265,0,0,0,0
426,0.001424634,0,0,0,0
427,0.000603128,0,0,0,0
428,9.79E-05,0,0,0,0
429,0.00155697,0,0,0,0
430,0.001853075,0,0,0,0
431,0.021469312,0,0,0,0
432,0.016868886,0,0,0,0
433,0.026599991,0,0,0,0
434,0.004652435,0,0,0,0
435,0.004082552,0,0,0,0
436,0.022901331,0,0,0,0
437,2.14E-05,0,0,0,0
438,7.50E-06,0,0,0,0
439,0.04222056,0,0,0,0
440,0.000483371,0,0,0,0
441,0.001370063,0,0,0,0
442,0.000178931,0,0,0,0
443,0.023610531,0,0,0,0
444,0.000101021,0,0,0,0
445,3.60E-05,0,0,0,0
446,0.021309634,0,0,0,0
447,0.011120305,0,0,0,0
448,0,0,0,0,0
449,0,0,0,0,0
450,0.001791434,0,0,0,0
451,0.002068904,0,0,0,0
452,0.048486137,0,0,0,0
453,0.000522331,0,0,0,0
454,0.00208819,0,0,0,0
455,0.021375479,0,0,0,0
456,0.019885584,0,0,0,0
457,0.003952534,0,0,0,0
458,0.001138815,0,0,0,0
459,0.001364138,0,0,0,0
460,0.014906084,0,0,0,0
461,0.006723211,0,0,0,0
462,0.004778287,0,0,0,0
463,0.027385144,0,0,0,0
464,0.002020082,0,0,0,0
465,0.000329936,0,0,0,0
466,0.008219395,0,0,0,0
467,0.001223818,0,0,0,0
468,0.000616127,0,0,0,0
469,0.000145167,0,0,0,0
470,0.003485076,0,0,0,0
471,0.008687959,0,0,0,0
472,0.001783726,0,0,0,0
473,0.001649618,0,0,0,0
474,0.002619313,0,0,0,0
475,0.000989244,0,0,0,0
476,0.000828027,0,0,0,0
477,0.020945097,0,0,0,0
478,0.026580142,0,0,0,0
479,0.027296976,0,0,0,0
480,0.005584323,0,0,0,0
481,0.029187942,0,0,0,0
482,0.004412909,0,0,0,0
483,0.004187586,0,0,0,0
484,0.017837013,0,0,0,0
485,0.038515275,0,0,0,0
486,0.009079377,0,0,0,0
487,0.001517213,0,0,0,0
488,0.01773849,0,0,0,0
489,0.000329107,0,0,0,0
490,0.052950825,0,0,0,0
491,0.035334632,0,0,0,0
492,0.035260044,0,0,0,0
493,0.040318793,0,0,0,0
494,0.02590434,0,0,0,0
495,0.049168085,0,0,0,0
496,0,0,0,0,0
497,0,0,0,0,0
498,0.020382737,0,0,0,0
499,0.021782927,0,0,0,0
500,0.049340825,0,0,0,0
501,0.001633824,0,0,0,0
502,0.001905084,0,0,0,0
503,0.001333948,0,0,0,0
504,0.019483548,0,0,0,0
505,0.002224514,0,0,0,0
506,0.002477127,0,0,0,0
507,0.002451624,0,0,0,0
508,0.006108388,0,0,0,0
509,0.004713919,0,0,0,0
510,0.001234685,0,0,0,0
511,0.000291471,0,0,0,0
512,9.19E-05,0,0,0,0
513,0.014275319,0,0,0,0
514,0.014116826,0,0,0,0
515,0.010132547,0,0,0,0
516,0.000443939,0,0,0,0
517,0.003242864,0,0,0,0
518,0.020687557,0,0,0,0
519,0.015068122,0,0,0,0
520,0.001325279,0,0,0,0
521,0.00841484,0,0,0,0
522,0.007475321,0,0,0,0
523,0.012386542,0,0,0,0
524,0.043694804,0,0,0,0
525,0.02167435,0,0,0,0
526,0.009925707,0,0,0,0
527,0.014573213,0,0,0,0
528,0.018236197,0,0,0,0
529,0.004471582,0,0,0,0
530,0.004635204,0,0,0,0
531,0.004510685,0,0,0,0
532,0.00517541,0,0,0,0
533,0.033237994,0,0,0,0
534,0.014514353,0,0,0,0
535,0.037445025,0,0,0,0
536,0.005463714,0,0,0,0
537,0.007043491,0,0,0,0
538,0.025895094,0,0,0,0
539,0.000880179,0,0,0,0
540,0.010266491,0,0,0,0
541,0.000858893,0,0,0,0
542,0.000994431,0,0,0,0
543,0.004965155,0,0,0,0
544,0.001562241,0,0,0,0
545,0,0,0,0,0
546,1.79E-05,0,0,0,0
547,0.033885987,0,0,0,0
548,0.000503646,0,0,0,0
549,0.007473091,0,0,0,0
550,0.030088532,0,0,0,0
551,0.007918336,0,0,0,0
552,0.005322216,0,0,0,0
553,0.000565649,0,0,0,0
554,0.005358916,0,0,0,0
555,0.005198756,0,0,0,0
556,0.027910783,0,0,0,0
557,0.032622726,0,0,0,0
558,0.037380331,0,0,0,0
559,0.000374068,0,0,0,0
560,0.00140401,0,0,0,0
561,0.032202172,0,0,0,0
562,0.03810832,0,0,0,0
563,0.01666556,0,0,0,0
564,0.003734381,0,0,0,0
565,0.003375138,0,0,0,0
566,0.032032447,0,0,0,0
567,0.013669556,0,0,0,0
568,0.017907736,0,0,0,0
569,0.016098112,0,0,0,0
570,0.000337705,0,0,0,0
571,0.002400044,0,0,0,0
572,0.001444393,0,0,0,0
573,0.001727777,0,0,0,0
574,0.001749567,0,0,0,0
575,0.019802744,0,0,0,0
576,0.059941909,0,0,0,0
577,0.004937372,0,0,0,0
578,0.005083216,0,0,0,0
579,0.000411555,0,0,0,0
580,0.008261539,0,0,0,0
581,0.006046159,0,0,0,0
582,0.004711728,0,0,0,0
583,0.001494849,0,0,0,0
584,0.003347385,0,0,0,0
585,0.025957287,0,0,0,0
586,0.001426087,0,0,0,0
587,0.00141445,0,0,0,0
588,0.000508508,0,0,0,0
589,0.008796159,0,0,0,0
590,0.061068326,0,0,0,0
591,0.004858743,0,0,0,0
592,0.049774998,0,0,0,0
593,0.04905944,0,0,0,0
594,0.001252506,0,0,0,0
595,0.001411641,0,0,0,0
596,4.99E-05,0,0,0,0
597,0.00189643,0,0,0,0
598,0.002488866,0,0,0,0
599,0.027582926,0,0,0,0
600,0.039172984,0,0,0,0
601,0.004456056,0,0,0,0
602,0.004652435,0,0,0,0
603,0.004082552,0,0,0,0
604,0.056632843,0,0,0,0
605,7.20E-06,0,0,0,0
606,1.28E-06,0,0,0,0
607,0.020678695,0,0,0,0
608,0.001763939,0,0,0,0
609,0.023876249,0,0,0,0
610,8.17E-06,0,0,0,0
611,0.001058983,0,0,0,0
612,7.97E-05,0,0,0,0
613,3.64E-05,0,0,0,0
614,0.049317256,0,0,0,0
615,0.011090862,0,0,0,0
616,0.000364146,0,0,0,0
617,0,0,0,0,0
618,9.29E-05,0,0,0,0
619,0.002774572,0,0,0,0
620,0.005466037,0,0,0,0
621,0.00012676,0,0,0,0
622,0.000533611,0,0,0,0
623,0.005547131,0,0,0,0
624,0.048505875,0,0,0,0
625,0.000662132,0,0,0,0
626,0.001138815,0,0,0,0
627,0.001454818,0,0,0,0
628,0.008477462,0,0,0,0
629,0.010829442,0,0,0,0
630,0.007111526,0,0,0,0
631,0.022817965,0,0,0,0
632,0.001233465,0,0,0,0
633,0.00512559,0,0,0,0
634,0.005929807,0,0,0,0
635,0.003897023,0,0,0,0
636,0.004087492,0,0,0,0
637,0.000976804,0,0,0,0
638,0.020677979,0,0,0,0
639,0.007557987,0,0,0,0
640,0.002837916,0,0,0,0
641,0.002797718,0,0,0,0
642,0.000121111,0,0,0,0
643,0.00120814,0,0,0,0
644,0.000373384,0,0,0,0
645,0.022167021,0,0,0,0
646,0.006653829,0,0,0,0
647,0.032183162,0,0,0,0
648,0.001251642,0,0,0,0
649,0.004889592,0,0,0,0
650,0.004412909,0,0,0,0
651,0.004465954,0,0,0,0
652,0.052691395,0,0,0,0
653,0.04913978,0,0,0,0
654,0.017005965,0,0,0,0
655,0.003956276,0,0,0,0
