time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],SWGDN[unit="W m-2"]
2023-01-01T00:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T01:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T02:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T03:30:00Z,-14.11550423594214,31.93447179353053,10.71484375
2023-01-01T04:30:00Z,-14.11550423594214,31.93447179353053,116.34375
2023-01-01T05:30:00Z,-14.11550423594214,31.93447179353053,332.375
2023-01-01T06:30:00Z,-14.11550423594214,31.93447179353053,581.25
2023-01-01T07:30:00Z,-14.11550423594214,31.93447179353053,790.25
2023-01-01T08:30:00Z,-14.11550423594214,31.93447179353053,938.5
2023-01-01T09:30:00Z,-14.11550423594214,31.93447179353053,980.25
2023-01-01T10:30:00Z,-14.11550423594214,31.93447179353053,958.75
2023-01-01T11:30:00Z,-14.11550423594214,31.93447179353053,854.25
2023-01-01T12:30:00Z,-14.11550423594214,31.93447179353053,662.0
2023-01-01T13:30:00Z,-14.11550423594214,31.93447179353053,420.375
2023-01-01T14:30:00Z,-14.11550423594214,31.93447179353053,251.75
2023-01-01T15:30:00Z,-14.11550423594214,31.93447179353053,82.375
2023-01-01T16:30:00Z,-14.11550423594214,31.93447179353053,1.88916015625
2023-01-01T17:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T18:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T19:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T20:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T21:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T22:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-01T23:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T00:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T01:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T02:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T03:30:00Z,-14.11550423594214,31.93447179353053,14.82421875
2023-01-02T04:30:00Z,-14.11550423594214,31.93447179353053,150.6875
2023-01-02T05:30:00Z,-14.11550423594214,31.93447179353053,366.875
2023-01-02T06:30:00Z,-14.11550423594214,31.93447179353053,540.25
2023-01-02T07:30:00Z,-14.11550423594214,31.93447179353053,680.75
2023-01-02T08:30:00Z,-14.11550423594214,31.93447179353053,752.75
2023-01-02T09:30:00Z,-14.11550423594214,31.93447179353053,708.0
2023-01-02T10:30:00Z,-14.11550423594214,31.93447179353053,631.25
2023-01-02T11:30:00Z,-14.11550423594214,31.93447179353053,449.875
2023-01-02T12:30:00Z,-14.11550423594214,31.93447179353053,324.25
2023-01-02T13:30:00Z,-14.11550423594214,31.93447179353053,177.0
2023-01-02T14:30:00Z,-14.11550423594214,31.93447179353053,103.65625
2023-01-02T15:30:00Z,-14.11550423594214,31.93447179353053,32.875
2023-01-02T16:30:00Z,-14.11550423594214,31.93447179353053,1.0634765625
2023-01-02T17:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T18:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T19:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T20:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T21:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T22:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-02T23:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T00:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T01:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T02:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T03:30:00Z,-14.11550423594214,31.93447179353053,11.8125
2023-01-03T04:30:00Z,-14.11550423594214,31.93447179353053,142.9375
2023-01-03T05:30:00Z,-14.11550423594214,31.93447179353053,363.375
2023-01-03T06:30:00Z,-14.11550423594214,31.93447179353053,567.25
2023-01-03T07:30:00Z,-14.11550423594214,31.93447179353053,736.75
2023-01-03T08:30:00Z,-14.11550423594214,31.93447179353053,851.5
2023-01-03T09:30:00Z,-14.11550423594214,31.93447179353053,898.25
2023-01-03T10:30:00Z,-14.11550423594214,31.93447179353053,851.75
2023-01-03T11:30:00Z,-14.11550423594214,31.93447179353053,717.5
2023-01-03T12:30:00Z,-14.11550423594214,31.93447179353053,521.25
2023-01-03T13:30:00Z,-14.11550423594214,31.93447179353053,313.0
2023-01-03T14:30:00Z,-14.11550423594214,31.93447179353053,172.8125
2023-01-03T15:30:00Z,-14.11550423594214,31.93447179353053,59.828125
2023-01-03T16:30:00Z,-14.11550423594214,31.93447179353053,1.5576171875
2023-01-03T17:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T18:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T19:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T20:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T21:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T22:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-03T23:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-04T00:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-04T01:30:00Z,-14.11550423594214,31.93447179353053,0.0
2023-01-04T02:30:00Z,-14.11550423594214,31.93447179353053,0.0
