time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],SWGDN[unit="W m-2"]
2023-01-01T00:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T01:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T02:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T03:30:00Z,-17.40192870465388,27.288992860174947,3.23046875
2023-01-01T04:30:00Z,-17.40192870465388,27.288992860174947,68.78125
2023-01-01T05:30:00Z,-17.40192870465388,27.288992860174947,209.0625
2023-01-01T06:30:00Z,-17.40192870465388,27.288992860174947,408.125
2023-01-01T07:30:00Z,-17.40192870465388,27.288992860174947,623.5
2023-01-01T08:30:00Z,-17.40192870465388,27.288992860174947,750.75
2023-01-01T09:30:00Z,-17.40192870465388,27.288992860174947,783.5
2023-01-01T10:30:00Z,-17.40192870465388,27.288992860174947,765.0
2023-01-01T11:30:00Z,-17.40192870465388,27.288992860174947,649.75
2023-01-01T12:30:00Z,-17.40192870465388,27.288992860174947,519.25
2023-01-01T13:30:00Z,-17.40192870465388,27.288992860174947,367.75
2023-01-01T14:30:00Z,-17.40192870465388,27.288992860174947,238.4375
2023-01-01T15:30:00Z,-17.40192870465388,27.288992860174947,111.9375
2023-01-01T16:30:00Z,-17.40192870465388,27.288992860174947,17.078125
2023-01-01T17:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T18:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T19:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T20:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T21:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T22:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-01T23:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T00:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T01:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T02:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T03:30:00Z,-17.40192870465388,27.288992860174947,4.22265625
2023-01-02T04:30:00Z,-17.40192870465388,27.288992860174947,101.28125
2023-01-02T05:30:00Z,-17.40192870465388,27.288992860174947,271.25
2023-01-02T06:30:00Z,-17.40192870465388,27.288992860174947,443.75
2023-01-02T07:30:00Z,-17.40192870465388,27.288992860174947,601.5
2023-01-02T08:30:00Z,-17.40192870465388,27.288992860174947,696.25
2023-01-02T09:30:00Z,-17.40192870465388,27.288992860174947,689.75
2023-01-02T10:30:00Z,-17.40192870465388,27.288992860174947,688.5
2023-01-02T11:30:00Z,-17.40192870465388,27.288992860174947,641.5
2023-01-02T12:30:00Z,-17.40192870465388,27.288992860174947,522.0
2023-01-02T13:30:00Z,-17.40192870465388,27.288992860174947,373.375
2023-01-02T14:30:00Z,-17.40192870465388,27.288992860174947,201.5625
2023-01-02T15:30:00Z,-17.40192870465388,27.288992860174947,77.125
2023-01-02T16:30:00Z,-17.40192870465388,27.288992860174947,10.83203125
2023-01-02T17:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T18:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T19:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T20:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T21:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T22:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-02T23:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-03T00:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-03T01:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-03T02:30:00Z,-17.40192870465388,27.288992860174947,0.0
2023-01-03T03:30:00Z,-17.40192870465388,27.288992860174947,5.037109375
2023-01-03T04:30:00Z,-17.40192870465388,27.288992860174947,114.9375
2023-01-03T05:30:00Z,-17.40192870465388,27.288992860174947,281.25
2023-01-03T06:30:00Z,-17.40192870465388,27.288992860174947,454.5
2023-01-03T07:30:00Z,-17.40192870465388,27.288992860174947,677.25
2023-01-03T08:30:00Z,-17.40192870465388,27.288992860174947,861.0
2023-01-03T09:30:00Z,-17.40192870465388,27.288992860174947,953.75
2023-01-03T10:30:00Z,-17.40192870465388,27.288992860174947,954.0
2023-01-03T11:30:00Z,-17.40192870465388,27.288992860174947,861.0
