time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],SWGDN[unit="W m-2"]
2023-01-01T00:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T01:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T02:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T03:30:00Z,-15.747928815772369,26.05002828250523,0.4898681640625
2023-01-01T04:30:00Z,-15.747928815772369,26.05002828250523,43.96875
2023-01-01T05:30:00Z,-15.747928815772369,26.05002828250523,165.0
2023-01-01T06:30:00Z,-15.747928815772369,26.05002828250523,308.25
2023-01-01T07:30:00Z,-15.747928815772369,26.05002828250523,453.0
2023-01-01T08:30:00Z,-15.747928815772369,26.05002828250523,531.5
2023-01-01T09:30:00Z,-15.747928815772369,26.05002828250523,558.25
2023-01-01T10:30:00Z,-15.747928815772369,26.05002828250523,553.0
2023-01-01T11:30:00Z,-15.747928815772369,26.05002828250523,526.0
2023-01-01T12:30:00Z,-15.747928815772369,26.05002828250523,452.0
2023-01-01T13:30:00Z,-15.747928815772369,26.05002828250523,323.0
2023-01-01T14:30:00Z,-15.747928815772369,26.05002828250523,231.5625
2023-01-01T15:30:00Z,-15.747928815772369,26.05002828250523,117.53125
2023-01-01T16:30:00Z,-15.747928815772369,26.05002828250523,17.6328125
2023-01-01T17:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T18:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T19:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T20:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T21:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T22:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-01T23:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T00:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T01:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T02:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T03:30:00Z,-15.747928815772369,26.05002828250523,1.05029296875
2023-01-02T04:30:00Z,-15.747928815772369,26.05002828250523,64.8125
2023-01-02T05:30:00Z,-15.747928815772369,26.05002828250523,211.0625
2023-01-02T06:30:00Z,-15.747928815772369,26.05002828250523,343.125
2023-01-02T07:30:00Z,-15.747928815772369,26.05002828250523,478.5
2023-01-02T08:30:00Z,-15.747928815772369,26.05002828250523,547.0
2023-01-02T09:30:00Z,-15.747928815772369,26.05002828250523,562.5
2023-01-02T10:30:00Z,-15.747928815772369,26.05002828250523,504.0
2023-01-02T11:30:00Z,-15.747928815772369,26.05002828250523,433.5
2023-01-02T12:30:00Z,-15.747928815772369,26.05002828250523,348.5
2023-01-02T13:30:00Z,-15.747928815772369,26.05002828250523,244.8125
2023-01-02T14:30:00Z,-15.747928815772369,26.05002828250523,159.0625
2023-01-02T15:30:00Z,-15.747928815772369,26.05002828250523,90.59375
2023-01-02T16:30:00Z,-15.747928815772369,26.05002828250523,14.41015625
2023-01-02T17:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T18:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T19:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T20:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T21:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T22:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-02T23:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T00:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T01:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T02:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T03:30:00Z,-15.747928815772369,26.05002828250523,0.963134765625
2023-01-03T04:30:00Z,-15.747928815772369,26.05002828250523,68.65625
2023-01-03T05:30:00Z,-15.747928815772369,26.05002828250523,212.375
2023-01-03T06:30:00Z,-15.747928815772369,26.05002828250523,376.0
2023-01-03T07:30:00Z,-15.747928815772369,26.05002828250523,515.0
2023-01-03T08:30:00Z,-15.747928815772369,26.05002828250523,686.0
2023-01-03T09:30:00Z,-15.747928815772369,26.05002828250523,802.0
2023-01-03T10:30:00Z,-15.747928815772369,26.05002828250523,822.25
2023-01-03T11:30:00Z,-15.747928815772369,26.05002828250523,779.0
2023-01-03T12:30:00Z,-15.747928815772369,26.05002828250523,777.75
2023-01-03T13:30:00Z,-15.747928815772369,26.05002828250523,633.25
2023-01-03T14:30:00Z,-15.747928815772369,26.05002828250523,410.25
2023-01-03T15:30:00Z,-15.747928815772369,26.05002828250523,208.625
2023-01-03T16:30:00Z,-15.747928815772369,26.05002828250523,34.296875
2023-01-03T17:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T18:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T19:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T20:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T21:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T22:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-03T23:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-04T00:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-04T01:30:00Z,-15.747928815772369,26.05002828250523,0.0
2023-01-04T02:30:00Z,-15.747928815772369,26.05002828250523,0.0
