time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],SWGDN[unit="W m-2"]
2023-01-01T00:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T01:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T02:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T03:30:00Z,-9.354237991884549,28.76793273912658,1.2548828125
2023-01-01T04:30:00Z,-9.354237991884549,28.76793273912658,101.59375
2023-01-01T05:30:00Z,-9.354237991884549,28.76793273912658,329.375
2023-01-01T06:30:00Z,-9.354237991884549,28.76793273912658,563.5
2023-01-01T07:30:00Z,-9.354237991884549,28.76793273912658,728.5
2023-01-01T08:30:00Z,-9.354237991884549,28.76793273912658,941.5
2023-01-01T09:30:00Z,-9.354237991884549,28.76793273912658,1043.5
2023-01-01T10:30:00Z,-9.354237991884549,28.76793273912658,994.25
2023-01-01T11:30:00Z,-9.354237991884549,28.76793273912658,880.25
2023-01-01T12:30:00Z,-9.354237991884549,28.76793273912658,674.0
2023-01-01T13:30:00Z,-9.354237991884549,28.76793273912658,457.5
2023-01-01T14:30:00Z,-9.354237991884549,28.76793273912658,279.875
2023-01-01T15:30:00Z,-9.354237991884549,28.76793273912658,119.59375
2023-01-01T16:30:00Z,-9.354237991884549,28.76793273912658,5.052734375
2023-01-01T17:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T18:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T19:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T20:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T21:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T22:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-01T23:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T00:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T01:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T02:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T03:30:00Z,-9.354237991884549,28.76793273912658,1.68798828125
2023-01-02T04:30:00Z,-9.354237991884549,28.76793273912658,124.0
2023-01-02T05:30:00Z,-9.354237991884549,28.76793273912658,367.875
2023-01-02T06:30:00Z,-9.354237991884549,28.76793273912658,614.5
2023-01-02T07:30:00Z,-9.354237991884549,28.76793273912658,826.0
2023-01-02T08:30:00Z,-9.354237991884549,28.76793273912658,979.0
2023-01-02T09:30:00Z,-9.354237991884549,28.76793273912658,1056.5
2023-01-02T10:30:00Z,-9.354237991884549,28.76793273912658,1061.0
2023-01-02T11:30:00Z,-9.354237991884549,28.76793273912658,981.0
2023-01-02T12:30:00Z,-9.354237991884549,28.76793273912658,834.0
2023-01-02T13:30:00Z,-9.354237991884549,28.76793273912658,629.5
2023-01-02T14:30:00Z,-9.354237991884549,28.76793273912658,379.375
2023-01-02T15:30:00Z,-9.354237991884549,28.76793273912658,148.1875
2023-01-02T16:30:00Z,-9.354237991884549,28.76793273912658,6.6015625
2023-01-02T17:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T18:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T19:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T20:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T21:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T22:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-02T23:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T00:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T01:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T02:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T03:30:00Z,-9.354237991884549,28.76793273912658,1.533203125
2023-01-03T04:30:00Z,-9.354237991884549,28.76793273912658,111.0625
2023-01-03T05:30:00Z,-9.354237991884549,28.76793273912658,336.875
2023-01-03T06:30:00Z,-9.354237991884549,28.76793273912658,563.25
2023-01-03T07:30:00Z,-9.354237991884549,28.76793273912658,776.0
2023-01-03T08:30:00Z,-9.354237991884549,28.76793273912658,933.5
2023-01-03T09:30:00Z,-9.354237991884549,28.76793273912658,1010.5
2023-01-03T10:30:00Z,-9.354237991884549,28.76793273912658,1011.0
2023-01-03T11:30:00Z,-9.354237991884549,28.76793273912658,924.5
2023-01-03T12:30:00Z,-9.354237991884549,28.76793273912658,774.5
2023-01-03T13:30:00Z,-9.354237991884549,28.76793273912658,585.25
2023-01-03T14:30:00Z,-9.354237991884549,28.76793273912658,370.0
2023-01-03T15:30:00Z,-9.354237991884549,28.76793273912658,145.3125
2023-01-03T16:30:00Z,-9.354237991884549,28.76793273912658,6.849609375
2023-01-03T17:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T18:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T19:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T20:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T21:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T22:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-03T23:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-04T00:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-04T01:30:00Z,-9.354237991884549,28.76793273912658,0.0
2023-01-04T02:30:00Z,-9.354237991884549,28.76793273912658,0.0
